u700,prot_P_HV
u715,prot_N_HV
u701,000
u714,000
u702,000
u713,000
u703,000
u712,000
u704,000
u711,000
u705,000
u710,000
u706,000
u709,000
u707,000
u708,000
u0,000
u1,000
u2,000
u3,000
u4,000
u5,000
u6,000
u7,000
u100,prot_P2.5
u101,prot_P2.3
u102,prot_N2.5
u103,prot_N2.3
u104,GBT/RP_P2.5
u105,GBT/RP_P2.3
u106,GBT/RP_N2.5
u107,GBT/RP_N2.3
u200,000
u201,000
u202,000
u203,000
u204,000
u205,000
u206,000
u207,000
u300,000
u301,000
u302,000
u303,000
u304,000
u305,000
u306,000
u307,000
u400,000
u401,000
u402,000
u403,000
u404,000
u405,000
u406,000
u407,000
u500,000
u501,000
u502,000
u503,000
u504,000
u505,000
u506,000
u507,000
u600,000
u601,000
u602,000
u603,000
u604,000
u605,000
u606,000
u607,000
u800,000
u801,000
u802,000
u803,000
u804,000
u805,000
u806,000
u807,000
