u0,106_P2.5
u1,106_P2.3
u2,106_N2.5
u3,106_N2.3
u4,102_P2.5
u5,102_P2.3
u6,102_N2.5
u7,102_N2.3
u100,103_P2.5
u101,103_P2.3
u102,103_N2.5
u103,103_N2.3
u104,107_P2.5
u105,107_P2.3
u106,107_N2.5
u107,107_N2.3
u200,000
u201,000
u202,000
u203,000
u204,000
u205,000
u206,000
u207,000
u300,108_P2.5
u301,108_P2.3
u302,108_N2.5
u303,108_N2.3
u304,109_P2.5
u305,109_P2.3
u306,109_N2.5
u307,109_N2.3
u400,000
u401,000
u402,000
u403,000
u404,RP_106/102/103
u405,000
u406,RP_107/108/109
u407,000
u500,GBT_106/102/103
u501,000
u502,GBT_107/108/109
u503,000
u504,000
u505,000
u506,000
u507,000
u600,000
u601,000
u602,000
u603,000
u604,000
u605,000
u606,000
u607,000
u700,000
u701,102_P_HV
u702,000
u703,000
u704,106_P_HV
u705,107_P_HV
u706,000
u707,109_P_HV
u708,109_N_HV
u709,000
u710,107_N_HV
u711,106_N_HV
u712,000
u713,000
u714,102_N_HV
u715,000
u716,000
u717,000
u718,000
u719,000
u800,000
u801,000
u802,000
u803,000
u804,000
u805,000
u806,000
u807,000
u808,000
u809,000
u810,000
u811,000
u812,000
u813,000
u814,000
u815,000
u816,000
u817,000
u818,000
u819,000
